Index,Fitness,Generations,Runtime,population_size,generations,cross_over_prob,mutation_prob,exponential_scaling,elite_percent,cross_over_summing
17,1770.0,2030.80,6.017671,16.0,3000.0,0.8,0.30,1.0,0.1,1.0
9,1808.4,2496.35,6.138208,16.0,3000.0,0.4,0.08,1.0,0.1,1.0
4,1809.4,2599.85,6.008210,16.0,3000.0,0.2,0.08,1.0,0.1,1.0
45,1813.0,2653.75,37.027569,64.0,3000.0,0.4,0.01,1.0,0.1,1.0
50,1830.4,2780.95,40.257397,64.0,3000.0,0.6,0.01,1.0,0.1,1.0
19,1842.8,2374.35,6.616606,16.0,3000.0,0.8,0.08,1.0,0.1,1.0
34,1842.9,2169.55,12.587978,32.0,3000.0,0.6,0.08,1.0,0.1,1.0
40,1850.8,2577.05,34.219077,64.0,3000.0,0.2,0.01,1.0,0.1,1.0
11,1856.2,2318.70,6.091349,16.0,3000.0,0.6,0.10,1.0,0.1,1.0
14,1863.3,2747.30,7.414835,16.0,3000.0,0.6,0.08,1.0,0.1,1.0
30,1873.5,2732.70,15.569324,32.0,3000.0,0.6,0.01,1.0,0.1,1.0
35,1908.1,2902.35,17.406726,32.0,3000.0,0.8,0.01,1.0,0.1,1.0
16,1923.8,2543.40,7.137900,16.0,3000.0,0.8,0.10,1.0,0.1,1.0
6,1940.4,2399.60,5.960872,16.0,3000.0,0.4,0.10,1.0,0.1,1.0
25,1948.1,2983.15,16.225886,32.0,3000.0,0.4,0.01,1.0,0.1,1.0
20,2017.1,2958.70,15.157675,32.0,3000.0,0.2,0.01,1.0,0.1,1.0
0,2026.0,2885.40,6.621348,16.0,3000.0,0.2,0.01,1.0,0.1,1.0
15,2060.7,3000.00,8.236505,16.0,3000.0,0.8,0.01,1.0,0.1,1.0
5,2087.5,3000.00,7.277337,16.0,3000.0,0.4,0.01,1.0,0.1,1.0
10,2208.3,3000.00,7.706566,16.0,3000.0,0.6,0.01,1.0,0.1,1.0
